<<<<<<< HEAD
﻿faixa-etaria;genero;escolaridade;graduacao;atividade;conhece-chatgpt;utilizou-chatgpt;porque-utilizou-chatgpt;paraque-utilizou-chatgpt;grau-entendimento-perguntas;"percentual-resposta-errada
"; percentual-utilizadas;"utilidade
";"satisfatoria-experiencia
";"experiencia-com-chatgpt
";melhorias;utilizou-outros-ia  ;quais-ia;facilidade-uso-outras-ia;vantagem-desvantagem-outras-ia;beneficios-ia-profissao;outra-ia-facilite-trabalho;"o-que-deveria-propiciar
";quanto-ia-substituir;quando-ia-capacidade-substituir;quais-substituidos-ia;comentarios;;;;;;
40-49;Masculino;Pós Graduação (MBA);Engenharia;Financeira;Sim;Sim;Diversão/Curiosidade;Curiosidades e fatos triviais;4;1;3;3;3;3;Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes.;Não;;;;Aumento da produtividade, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Não;Não;3;Em um futuro próximo;Não;;;;;;;
60+;Masculino;Pós Graduação (MBA);engenheiro;dirigente de empresa;Sim;Sim;Assistência pessoal;Criação de conteúdo;5;2;4;5;5;4;Trazer informações atualizadas e recentes., Fornecimento de referências e citações (reais)., Interação em caso de dúvida em relação à pergunta.;Não;;;;Aumento da produtividade;nao;apoio;1;Em um futuro distante;;;;;;;;
40-49;Masculino;Pós Graduação (MBA);Engenharia ;Consultoria ;Sim;Sim;Diversão/Curiosidade, Assistência profissional;Esclarecimento de dúvidas gerais, Revisão de textos, Geração de ideias, Criação de conteúdo, Curiosidades e fatos triviais, Consulta literária de alguns temas técnicos ;4;3;3;4;4;3;Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Incorporação de conhecimento especializado em áreas específicas., Detecção e correção de erros gramaticais e ortográficos., Geração de respostas mais criativas e inovadoras., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta.;Não;;;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Nao;Respostas técnicas com fonte literária da informação prestada;3;Não sei dizer;;;;;;;;
35-39;Masculino;Pós Graduação (MBA);Bacharel em Direito;Bancaria;Sim;Não;;;;;;;;;;;Google Assistant, Cortana (Microsoft), Google Translate;Nunca utilizei outras ferramentas.;;Automatização de tarefas;Nao;Mais facilidade;3;Hoje;Assistentes jurídicos ;;;;;;;
60+;Masculino;Superior Completo;Engenharia Civil;Consultoria em qualidade e gestão ;Sim;Sim;Estudo da Língua Inglesa ;Discussão sobre o assunto estudado ;5;1;1;3;5;5;Não sei dizer;Não;;;;Melhoria da tomada de decisão;Não ;Orientar sobre padrões de trabalho, incluindo monitoramento da execução de tarefas.;3;Não sei dizer;Inspetores da qualidade, validação de projetos ;;;;;;;
60+;Masculino;Mestrado;Engenharia ;Aposentado ;Sim;Não;;;;;;;;;;;Não utilizei nenhuma das anteriores;Nunca utilizei outras ferramentas.;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Não ;"As. Relacionadas na resposta da pergunta ""Quais são os principais benefícios...""";4;Em um futuro próximo;Desenho, projeto, layout, cálculos.;Trata-se de ferramentas que auxiliam no planejamento, programação e execução de projetos nas áreas de administração e engenharia.;;;;;;
50-59;Feminino;Mestrado;Matemática;aposentada, estudante (pós graduação);Sim;Sim;Assistência pessoal;Revisão de textos, Tradução;4;2;3;4;4;3;Aumento da exatidão nas respostas., Identificação de informações incorretas ou falsas.;Sim;Google Assistant, Alexa (Amazon), Google Translate;Melhores;Mais minucioso;Redução de erros humanos, Otimização de tempo;não;exatamente o que o Chat GPt oferece;3;Em um futuro distante;Atendimento, Informações, serviços mecânicos, acredito que nunca substituirá trabalhos qualificados e especializados.;Utilizar o tempo humano para fazer o que a máquina não consegue.;;;;;;
40-49;Feminino;Mestrado;Engenharia de segurança do trabalho ;Engenharia de Incêndio ;Sim;Sim;Assistência profissional;Revisão de textos, Geração de ideias, Tradução;4;2;3;4;4;4;Trazer informações atualizadas e recentes., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Fornecimento de referências e citações (reais).;Não;;;;Aumento da produtividade;Não ;Não ;1;Hoje;Secretaria ;Interessante para quem não conhece ;;;;;;
35-39;Masculino;Superior Incompleto;Não ;Estudante de Arquitetura ;Sim;Sim;Assistência profissional;Suporte técnico;3;2;3;3;3;3;Aumento da exatidão nas respostas.;Não;;;;Redução de erros humanos;Não ;Não ;3;Em um futuro distante;Cálculos estruturais.;O ser humano continuará a ser insubstituível.;;;;;;
=======
50-59;Masculino;Pós Graduação (MBA);Engenharia Mecânico ;Gestão de Projetos ;Sim;Sim;Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Geração de ideias, Criação de conteúdo;4;1;4;5;4;4;Nos precisamos aprender a fazer perguntas ;Não;;;;Aumento da produtividade, Otimização de tempo;Não;Nao conheço ainda se tem ou não ;3;Em um futuro próximo;Construção de especificações técnicas a partir de requisitos funcionais de projetos de equipamentos conhecidos. ;;;;;;;
40-49;Feminino;Pós Graduação (MBA);Bacharel em Química ;Industrial Pesquisa e desenvolvimento ;Sim;Sim;Diversão/Curiosidade, Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Geração de ideias, Ajuda com resolução de problemas;4;2;4;4;4;4;Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Incorporação de conhecimento especializado em áreas específicas., Aumento da capacidade de compreender e gerar conteúdo multilíngue., Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos., Fornecimento de referências e citações (reais)., Incorporação de recursos de voz para comunicação oral., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel);Não;;;;Melhoria da tomada de decisão, Otimização de tempo, Análise avançada de dados;Não ;Redução e otimização de tempo e custo;1;Em um futuro distante;;;;;;;;
60+;Masculino;Pós Graduação (MBA);Eng. Eletricista.;Aposentado;Não;Não;;;;;;;;;;;Google Assistant, Google Translate;Nunca utilizei outras ferramentas.;;Nunca usei;Não ;Nada;1;Não sei dizer;Não sei dizer.;;;;;;;
40-49;Masculino;Pós Graduação (MBA);Engenharia;Financeira;Sim;Sim;Diversão/Curiosidade;Curiosidades e fatos triviais;4;1;3;3;3;3;Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes.;Não;;;;Aumento da produtividade, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Não;Não;3;Em um futuro próximo;Não;;;;;;;
60+;Masculino;Pós Graduação (MBA);engenheiro;dirigente de empresa;Sim;Sim;Assistência pessoal;Criação de conteúdo;5;2;4;5;5;4;Trazer informações atualizadas e recentes., Fornecimento de referências e citações (reais)., Interação em caso de dúvida em relação à pergunta.;Não;;;;Aumento da produtividade;nao;apoio;1;Em um futuro distante;;;;;;;;
40-49;Masculino;Pós Graduação (MBA);Engenharia ;Consultoria ;Sim;Sim;Diversão/Curiosidade, Assistência profissional;Esclarecimento de dúvidas gerais, Revisão de textos, Geração de ideias, Criação de conteúdo, Curiosidades e fatos triviais, Consulta literária de alguns temas técnicos ;4;3;3;4;4;3;Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Incorporação de conhecimento especializado em áreas específicas., Detecção e correção de erros gramaticais e ortográficos., Geração de respostas mais criativas e inovadoras., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta.;Não;;;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Nao;Respostas técnicas com fonte literária da informação prestada;3;Não sei dizer;;;;;;;;
35-39;Masculino;Pós Graduação (MBA);Direito;Bancaria;Sim;Não;;;;;;;;;;;Google Assistant, Cortana (Microsoft), Google Translate;Nunca utilizei outras ferramentas.;;Automatização de tarefas;Nao;Mais facilidade;3;Hoje;Assistentes jurídicos ;;;;;;;
60+;Masculino;Superior Completo;Engenharia Civil ;Consultoria em qualidade e gestão ;Sim;Sim;Estudo da Língua Inglesa ;Discussão sobre o assunto estudado ;5;1;1;3;5;5;Não sei dizer;Não;;;;Melhoria da tomada de decisão;Não ;Orientar sobre padrões de trabalho, incluindo monitoramento da execução de tarefas.;3;Não sei dizer;Inspetores da qualidade, validação de projetos ;;;;;;;
60+;Masculino;Mestrado;Engenharia ;Aposentado ;Sim;Não;;;;;;;;;;;Não utilizei nenhuma das anteriores;Nunca utilizei outras ferramentas.;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Não ;"As. Relacionadas na resposta da pergunta ""Quais são os principais benefícios...""";4;Em um futuro próximo;Desenho, projeto, layout, cálculos.;Trata-se de ferramentas que auxiliam no planejamento, programação e execução de projetos nas áreas de administração e engenharia.;;;;;;
50-59;Feminino;Mestrado;Matemática;aposentada, estudante (pós graduação);Sim;Sim;Assistência pessoal;Revisão de textos, Tradução;4;2;3;4;4;3;Aumento da exatidão nas respostas., Identificação de informações incorretas ou falsas.;Sim;Google Assistant, Alexa (Amazon), Google Translate;Melhores;Mais minucioso;Redução de erros humanos, Otimização de tempo;não;exatamente o que o Chat GPt oferece;3;Em um futuro distante;Atendimento, Informações, serviços mecânicos, acredito que nunca substituirá trabalhos qualificados e especializados.;Utilizar o tempo humano para fazer o que a máquina não consegue.;;;;;;
40-49;Feminino;Mestrado;Engenharia de segurança do trabalho ;Engenharia de Incêndio ;Sim;Sim;Assistência profissional;Revisão de textos, Geração de ideias, Tradução;4;2;3;4;4;4;Trazer informações atualizadas e recentes., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Fornecimento de referências e citações (reais).;Não;;;;Aumento da produtividade;Não ;Não ;1;Hoje;Secretaria ;Interessante para quem não conhece ;;;;;;
35-39;Masculino;Superior  Incompleto;Não ;Estudante de Arquitetura ;Sim;Sim;Assistência profissional;Suporte técnico;3;2;3;3;3;3;Aumento da exatidão nas respostas.;Não;;;;Redução de erros humanos;Não ;Não ;3;Em um futuro distante;Cálculos estruturais.;O ser humano continuará a ser insubstituível.;;;;;;
>>>>>>> 55a8913c004d3bf7715bab79d038d735de0e8c3c
25 -34;Masculino;Mestrado;Unesp;Engenheiro de Dados;Sim;Sim;Assistência profissional;Revisão de textos, Geração de ideias, Ajuda com resolução de problemas;5;3;4;4;4;4;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Habilidade de identificar sarcasmo e ironia., Integração de recursos multimídia/foto nas respostas., Geração de respostas mais criativas e inovadoras.;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Midjourney, Google Translate;Piores;;Aumento da produtividade, Redução de erros humanos, Otimização de tempo;Não ;N/A;2;Em um futuro distante;criação de código, aplicação, análise dados, criação de arquitetura, modelos de dados;;;;;;;
60+;Masculino;Superior Completo;Engenharia Elétrica;Aposentado;Sim;Não;;;;;;;;;;;Google Translate;Nunca utilizei outras ferramentas.;;Melhoria da tomada de decisão, Automatização de tarefas, Análise avançada de dados;Nao;Nao;3;Não sei dizer;;;;;;;;
25 -34;Feminino;Mestrado;Cinema e audiovisual ;Estudante de mestrado;Sim;Não;;;;;;;;;;;Google Assistant, Bixby (Samsung), Google Translate, Shazam;Nunca utilizei outras ferramentas.;;Não acho que traria benefícios ;Não ;Nao usaria ferramenta igual chat gpt pra minha vida profissional;3;Em um futuro próximo;;;;;;;;
25 -34;Masculino;Pós Graduação (MBA);Engenheiro Civil;Engenheiro Civil;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Revisão de textos, Geração de ideias, Criação de conteúdo, Tradução, Ajuda com resolução de problemas;4;1;4;5;5;5;Identificação de informações incorretas ou falsas., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Integração de recursos multimídia/foto nas respostas., Interação com outros aplicativos (word, excel);Não;;;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Memorial descritivo ;Agilidade;3;Não sei dizer;;;;;;;;
<<<<<<< HEAD
35-39;Masculino;Superior Completo;Engenharia Civil;Imobiliária;Sim;Não;;;;;;;;;;;Google Assistant, Alexa (Amazon), Google Translate;Iguais;Impressão que as fontes de conteúdo são mais confiáveis;Aumento da produtividade, Otimização de tempo, Automatização de tarefas;Não;Qualquer tarefa administrativa repetitiva, desde responder dúvidas de clientes, atender solicitações, programar pagamentos, preenchimento automático de informações no ERP/CRM/Banco de dados, etc, tudo até um limite de alçada definido pelo gestor.;3;Em um futuro distante;Auxiliares administrativos;;;;;;;
60+;Masculino;Pós Graduação (MBA);Engenharia ;Química e segurança do trabalho ;Não;Não;;;;;;;;;;;Google Assistant, Alexa (Amazon), Google Translate;Iguais;Não tenho opinião ;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo;Não ;Facilidade de pesquisa ;2;Em um futuro distante;Não tenho;Nao;;;;;;
60+;Masculino;Superior Completo;Engenharia Mecânica ;Perito Judicial;Sim;Sim;Assistência profissional;Suporte técnico, Revisão de textos, Geração de ideias;4;1;3;4;4;4;Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Habilidade de identificar sarcasmo e ironia., Integração de recursos multimídia/foto nas respostas., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel);Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Bixby (Samsung), Midjourney, Google Translate, Shazam;Piores;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo;NÃO;Mais soluções;3;Em um futuro próximo;Melhoria de textos ;;;;;;;
18 -24;Masculino;Superior Incompleto;Engenharia Mecânica ;Projetos especiais.;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional, TCC.;Esclarecimento de dúvidas gerais, Ajuda com tarefas escolares, Suporte técnico, Revisão de textos, Geração de ideias, Criação de conteúdo, Curiosidades e fatos triviais, Ajuda com resolução de problemas;4;4;4;5;5;5;Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Incorporação de conhecimento especializado em áreas específicas., Aumento da capacidade de compreender e gerar conteúdo multilíngue., Habilidade de identificar sarcasmo e ironia., Fornecimento de suporte emocional e empatia durante as conversas., Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos., Geração de respostas mais criativas e inovadoras., Fornecimento de referências e citações (reais)., Incorporação de recursos de voz para comunicação oral., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta., Integração de recursos de tradução em tempo real para conversas multilíngues.;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Bixby (Samsung), Google Translate, Shazam, Outro ChatBot (seja em website e/ou WhatsApp), Google Bard;Iguais;O Google Bard fornece dados atuais sem precisar pagar uma assinatura.;Aumento da produtividade, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Google Bard;Integração com diferentes ferramentas, aplicativos e recursos.;3;Em um futuro próximo;Calculistas, desenhistas e orçamentistas.;;;;;;;
=======
35-39;Masculino;Superior Completo;Eng Civil;Imobiliária;Sim;Não;;;;;;;;;;;Google Assistant, Alexa (Amazon), Google Translate;Iguais;Impressão que as fontes de conteúdo são mais confiáveis;Aumento da produtividade, Otimização de tempo, Automatização de tarefas;Não;Qualquer tarefa administrativa repetitiva, desde responder dúvidas de clientes, atender solicitações, programar pagamentos, preenchimento automático de informações no ERP/CRM/Banco de dados, etc, tudo até um limite de alçada definido pelo gestor.;3;Em um futuro distante;Auxiliares administrativos;;;;;;;
60+;Masculino;Pós Graduação (MBA);Engenheiro;Química e segurança do trabalho ;Não;Não;;;;;;;;;;;Google Assistant, Alexa (Amazon), Google Translate;Iguais;Não tenho opinião ;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo;Não ;Facilidade de pesquisa ;2;Em um futuro distante;Não tenho;Nao;;;;;;
60+;Masculino;Superior Completo;Engenheiro Mecânico;Perito Judicial;Sim;Sim;Assistência profissional;Suporte técnico, Revisão de textos, Geração de ideias;4;1;3;4;4;4;Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Habilidade de identificar sarcasmo e ironia., Integração de recursos multimídia/foto nas respostas., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel);Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Bixby (Samsung), Midjourney, Google Translate, Shazam;Piores;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo;NÃO;Mais soluções;3;Em um futuro próximo;Melhoria de textos ;;;;;;;
18 -24;Masculino;Superior  Incompleto;Engenharia Mecânica;Projetos especiais.;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional, TCC.;Esclarecimento de dúvidas gerais, Ajuda com tarefas escolares, Suporte técnico, Revisão de textos, Geração de ideias, Criação de conteúdo, Curiosidades e fatos triviais, Ajuda com resolução de problemas;4;4;4;5;5;5;Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Incorporação de conhecimento especializado em áreas específicas., Aumento da capacidade de compreender e gerar conteúdo multilíngue., Habilidade de identificar sarcasmo e ironia., Fornecimento de suporte emocional e empatia durante as conversas., Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos., Geração de respostas mais criativas e inovadoras., Fornecimento de referências e citações (reais)., Incorporação de recursos de voz para comunicação oral., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta., Integração de recursos de tradução em tempo real para conversas multilíngues.;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Bixby (Samsung), Google Translate, Shazam, Outro ChatBot (seja em website e/ou WhatsApp), Google Bard;Iguais;O Google Bard fornece dados atuais sem precisar pagar uma assinatura.;Aumento da produtividade, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Google Bard;Integração com diferentes ferramentas, aplicativos e recursos.;3;Em um futuro próximo;Calculistas, desenhistas e orçamentistas.;;;;;;;
>>>>>>> 55a8913c004d3bf7715bab79d038d735de0e8c3c
50-59;Masculino;Pós Graduação (MBA);Engenheiro agrônomo ;Profissional liberal;Sim;Sim;Diversão/Curiosidade;Esclarecimento de dúvidas gerais, Suporte técnico, Geração de ideias;3;3;2;3;3;4;Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Interação em caso de dúvida em relação à pergunta.;Sim;Google Translate, Outro ChatBot (seja em website e/ou WhatsApp);Iguais;;Na prática nenhuma ;Não ;Não saberia dizer;1;Em um futuro distante;Atendente, SAC, portarias, ;;;;;;;
18 -24;Masculino;Superior Completo;Gestão da Produção;Analista de Inovação;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Ajuda com tarefas escolares, Suporte técnico, Revisão de textos, Geração de ideias, Criação de conteúdo, Tradução, Ajuda com resolução de problemas;4;2;3;4;4;5;Melhoria na compreensão de textos, Trazer informações atualizadas e recentes., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Fornecimento de referências e citações (reais)., Incorporação de recursos de voz para comunicação oral., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel);Sim;Google Assistant, Alexa (Amazon), Midjourney, DALL-E, Google Translate;Iguais;;Aumento da produtividade, Otimização de tempo, Automatização de tarefas;NÃO;Elaboração de automações;4;Em um futuro próximo;Recepcionistas, atividades repetitivas e de baixo impacto;;;;;;;
35-39;Masculino;Superior Completo;Desenho Industrial;Projetista;Sim;Não;;;;;;;;;;;Siri (Apple), Google Assistant, Google Translate;Nunca utilizei outras ferramentas.;;Aumento da produtividade, Otimização de tempo;não;auxilio do desenvolvimento de projetos;1;Hoje;;;;;;;;
40-49;Feminino;Pós Graduação (MBA);Desenho industrial com habilitação em Designer Grafico;Diretora de operações em uma plataforma de open talent;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Revisão de textos, Geração de ideias, Criação de conteúdo, Ajuda com resolução de problemas;4;2;4;5;5;5;Trazer informações atualizadas e recentes., Incorporação de conhecimento especializado em áreas específicas., Integração de recursos multimídia/foto nas respostas., Fornecimento de referências e citações (reais)., Incorporação de recursos de voz para comunicação oral., Interação com outros aplicativos (word, excel);Sim;Midjourney, Google Translate, Shazam, Outro ChatBot (seja em website e/ou WhatsApp), Leonardo.ai, copilot, Gemini, entre outras;Iguais;Cada ferramenta tem seu propósito, suas vantagens e desvantagens, não acho que precise ter uma só para tudo.;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados, Existem muitas aplicações ;A nossa plataforma Crowd, chatbot etc;Já existem ;3;Em um futuro próximo;Atendimento ao cliente entre outros;;;;;;;
25 -34;Feminino;Doutorado;Design;Pesquisadora/Designer;Sim;Sim;Diversão/Curiosidade, Assistência pessoal;Revisão de textos, Orientação de viagens;4;3;4;4;3;3;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Identificação de informações incorretas ou falsas., Aumento da capacidade de compreender e gerar conteúdo multilíngue., Detecção e correção de erros gramaticais e ortográficos., Integração de recursos de tradução em tempo real para conversas multilíngues.;Sim;Siri (Apple), Alexa (Amazon), Speech Text, Google Translate;Iguais;;Otimização de tempo, Análise avançada de dados;Não;-;3;Não sei dizer;;;;;;;;
18 -24;Feminino;Mestrado;Design;Doutoranda em Design, mas atuo freelancer. ;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Revisão de textos, Geração de ideias, Criação de conteúdo, Tradução, Ajuda com resolução de problemas;4;3;4;5;5;5;Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Incorporação de conhecimento especializado em áreas específicas., Aumento da capacidade de compreender e gerar conteúdo multilíngue., Fornecimento de suporte emocional e empatia durante as conversas., Integração de recursos multimídia/foto nas respostas., Fornecimento de referências e citações (reais)., Incorporação de recursos de voz para comunicação oral., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel), Integração de recursos de tradução em tempo real para conversas multilíngues.;Sim;Google Assistant, Alexa (Amazon), Cortana (Microsoft), Midjourney, DALL-E, Google Translate, Outro ChatBot (seja em website e/ou WhatsApp), Adobe Firefly, Microsoft Design, tome.app, Chat with any PDF, google Bard.;Iguais;Eu acho que a reposta é bem relativa por que cada uma das outras IAs que eu usei tem  funcionalidades diferentes, então seria como comparar word e excel. Mas respondendo a pergunta acho que uma desvantagem do chat GPT e ele ser somente textual, ele tem uma boa capacidade de analise que poderia ser aplicado na leitura de arquivos em PDF, planilha, imagem e etc... No entanto não é possível fazer upload de arquivos.;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Midjourney, Adobe Firefly, Runway, Adobe Podcast, Movio, Crayon, Uizard.;Geração de ativos de imagens, fontes e vídeos que poderiam ser usados para mockup, em vez de procurar isso em banco de dados;3;Não sei dizer;Copywriting, já usei o chatgpt e dependendo do comando ele pode gerar bons textos para fins publicitários.;;;;;;;
60+;Masculino;Superior Completo;TETECNOLOGIA PROCESSOS DE PRODUÇÃO ;Inovacao e Tecnologia ;Sim;Sim;Assistência pessoal;Curiosidades e fatos triviais, Orientação de viagens;4;2;3;4;4;4;Não sei dizer;Sim;Cortana (Microsoft);Iguais;;Redução de erros humanos, Otimização de tempo, Automatização de tarefas;Nao;Não ;3;Em um futuro próximo;;;;;;;;
40-49;Masculino;Pós Graduação (MBA);Engenharia;Gestão de Projetos;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Revisão de textos, Criação de conteúdo, Tradução, Ajuda com resolução de problemas;4;3;3;4;5;5;Trazer informações atualizadas e recentes., Incorporação de conhecimento especializado em áreas específicas., Integração de recursos multimídia/foto nas respostas., Fornecimento de referências e citações (reais)., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta.;Sim;Alexa (Amazon), Outro ChatBot (seja em website e/ou WhatsApp);Piores;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;NÂO;automação;5;Hoje;Medico, através de algoritmos baseado em conhecimento;;;;;;;
35-39;Feminino;Pós Graduação (MBA);Tecnólogo em informática ;TI;Sim;Sim;Diversão/Curiosidade, Assistência pessoal;Esclarecimento de dúvidas gerais, Geração de ideias;4;2;4;4;4;4;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Habilidade de identificar sarcasmo e ironia., Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos., Fornecimento de referências e citações (reais)., Reconhecimento e resposta a comandos de voz., Interação com outros aplicativos (word, excel);Não;;;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Não ;Automação ;3;Não sei dizer;Restart de setvidores;;;;;;;
60+;Masculino;Doutorado;Química ;Pesquisador;Sim;Não;;;;;;;;;;;Siri (Apple), Alexa (Amazon), Cortana (Microsoft), Google Translate, Shazam;Iguais;;Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Nao;Nd;2;Não sei dizer;Nd;;;;;;;
25 -34;Masculino;Superior Completo;Engenharia da computação ;Tecnologia da informação ;Sim;Sim;Assistência pessoal;Esclarecimento de dúvidas gerais, Curiosidades e fatos triviais, Ajuda com resolução de problemas;3;3;2;3;3;3;Aumento da exatidão nas respostas.;Não;;;;Melhoria da tomada de decisão, Otimização de tempo;Não;Automação de recursos;2;Em um futuro distante;;;;;;;;
40-49;Masculino;Superior Completo;Graduação;Consultoria;Sim;Não;;;;;;;;;;;Google Assistant;Nunca utilizei outras ferramentas.;Não usei ainda;Aumento da produtividade, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, ;Não;Fazer relatório de Consultoria;3;Em um futuro próximo;Desenvolver os relatórios;;;;;;;
<<<<<<< HEAD
